script_name,model_type,dataset_type,category,item,value
new-gtb,GradientTreeBoost,Full,Processing_Parameters,WorldCover_Resample_Reducer,ee.Reducer.mode()
new-gtb,GradientTreeBoost,Full,Processing_Parameters,WorldCover_Resample_MaxPixels,1024
new-gtb,GradientTreeBoost,Full,Export_Parameters,Export_Asset_Scale_Intermediate,100
new-gtb,GradientTreeBoost,Full,Export_Parameters,Export_Asset_Scale_PredictedAGBD,100
new-gtb,GradientTreeBoost,Full,Export_Parameters,Export_Asset_MaxPixels,10000000000
new-gtb,GradientTreeBoost,Full,PerformanceMetric,RMSE,61.82290117478558
new-gtb,GradientTreeBoost,Full,PerformanceMetric,R2,0.5138406647324538
new-gtb,GradientTreeBoost,Full,PerformanceMetric,TotalAGB_Mg,1202314.8279884567
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,canopy_height,0.8608615723232876
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,dem,0.022820168025208705
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,aspect,0.01700853487772511
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,slope,0.016043478048198275
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,ndvi,0.015297522001440371
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,VH,0.012057748282336817
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,ndmi,0.011660196291415474
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,B5,0.009085082191344114
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,B11,0.008415028754628238
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,savi,0.00819780127525244
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,evi,0.00783710984090056
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,B8,0.005537070271915508
new-gtb,GradientTreeBoost,Full,FeatureImportance_Normalized,VV,0.0051786878163469965
